App ID,App Name,RandomID,Email,Paket,Buchungsdatum,native,iOS Audience,Android Audience,Gesamt Audience,Transaktionen,ModuleEmails,Neue Besucher,Wiederkehrende Besucher,Besucher Gesamt,Gesendete PN,Submission Service Apple,Submission Service Google,Submission Service Amazon,AppStore URL,Google Play URL,Last Publish Date,TEXT,MAP,COUPON,GALLERY,NEWSCENTER,EVENTS,CONTACT,SUBMENU,SUBMENU_SEPARATOR,RESERVATION,VIDEO,USER_MODULE,RESERVATION2,RESERVATION3,RESERVATION4,COLLECTION_PRODUCT,COLLECTION_MENU,COLLECTION_BRANCH,BUSINESS_HOURS,PDF,TABLE_RESERVATION,FORMS,EXTERNAL_SERVICE_APPOINTMENT,WEBSITE,EXTERNAL_SERVICE_REVIEW,STAMPCARD,Eingelöste Stempelkarten,Stempelkartennutzer,Insgesamt verteilte Stempel,Gesamt Nutzer
,,386c460c-af6f-4540-b199-e940e4d396de,,,,,10,39,49,0,1,161,134,295,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,b985e1da-498e-4feb-b7af-ec3b53a635c3,,,,,6,11,17,0,0,4,0,4,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,daff57c3-5599-42e9-bb08-73c394247822,,,,,5,5,10,0,0,2,2,4,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6923bcfc-285b-4a26-b9ac-ba517ca9f28a,,,,,1,5,6,0,0,50,22,72,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,d32a9277-a64b-48cc-8f8a-54e46c19c4ff,,,,,5,4,9,0,0,2,2,4,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,663e06b4-695c-4e49-93a3-fd0d32e78578,,,,,10,10,20,0,0,4,6,10,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,331cff23-7a3d-4f5f-977e-e8e3aadab2c4,,,,,56,30,86,0,0,8,10,18,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1acda4e3-f9fe-471f-88b3-837549d36c3a,,,,,0,0,0,0,0,4,2,6,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,a50ad6e5-c804-47d2-8472-02b7f3ba7448,,,,,27,31,58,0,0,4,0,4,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ae092322-d0bd-4f49-995c-4be4c8f5ac9f,,,,,16,91,107,0,7,645,117,762,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
