App ID,App Name,RandomID,Email,Paket,Buchungsdatum,native,iOS Audience,Android Audience,Gesamt Audience,Transaktionen,ModuleEmails,Neue Besucher,Wiederkehrende Besucher,Besucher Gesamt,Gesendete PN,Submission Service Apple,Submission Service Google,Submission Service Amazon,AppStore URL,Google Play URL,Last Publish Date,TEXT,MAP,COUPON,GALLERY,NEWSCENTER,EVENTS,CONTACT,SUBMENU,SUBMENU_SEPARATOR,RESERVATION,VIDEO,USER_MODULE,RESERVATION2,RESERVATION3,RESERVATION4,COLLECTION_PRODUCT,COLLECTION_MENU,COLLECTION_BRANCH,BUSINESS_HOURS,PDF,TABLE_RESERVATION,FORMS,EXTERNAL_SERVICE_APPOINTMENT,WEBSITE,EXTERNAL_SERVICE_REVIEW,STAMPCARD,Eingelöste Stempelkarten,Stempelkartennutzer,Insgesamt verteilte Stempel
,,220f82d5-662a-465f-afea-87d7d3e513a8,,,,,,,,,,,,,,,,,,,,2,1,0,1,1,0,1,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,,,
,,6b5545d6-6c23-4ab7-8f9b-6d8220850d56,,,,,,,,,,,,,,,,,,,,10,0,0,0,0,0,3,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
,,60def1de-e5bc-4760-bbbd-006971d80c76,,,,,,,,,,,,,,,,,,,,14,1,0,0,0,0,2,5,7,0,16,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,,,
,,985c5630-7f33-4dcd-bf6a-b8612c270a58,,,,,,,,,,,,,,,,,,,,2,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
,,5786bb63-dc10-489e-98f6-c8ece70a14d9,,,,,,,,,,,,,,,,,,,,6,1,1,1,2,0,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,
,,fd7dbb8b-b4e8-4b76-b638-af2bd267a97b,,,,,,,,,,,,,,,,,,,,7,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,
,,8f023636-cbfb-4e30-ab5b-c71f4cc1e1ec,,,,,,,,,,,,,,,,,,,,4,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,
,,85356cc5-b94d-456d-b7b9-fabfc4e8f457,,,,,,,,,,,,,,,,,,,,2,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,,,
,,5f7a3c28-c26b-4e9b-9656-ff4457483644,,,,,,,,,,,,,,,,,,,,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,,,
,,ed2e9922-d394-49f2-aa05-3207ed6a0f6d,,,,,,,,,,,,,,,,,,,,2,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,
,,13b4d149-6fd0-4cc6-977f-55e6ac9cc734,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,
,,85b73d3a-a457-4e36-8cd7-bdbfa99049eb,,,,,,,,,,,,,,,,,,,,2,1,0,0,0,1,20,7,5,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,,,
,,83b2586d-565b-4987-b282-45108d3df0e8,,,,,,,,,,,,,,,,,,,,2,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,
,,56a95005-a5be-4969-8803-2f34a85c6c9d,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
,,7a0f86bd-db83-482b-89af-b4b090472a34,,,,,,,,,,,,,,,,,,,,15,0,0,1,2,1,1,3,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,
,,be6d226b-eb76-4997-bf03-c086ed8ae772,,,,,,,,,,,,,,,,,,,,13,1,0,1,0,0,1,4,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,
,,9a031d5c-1cc4-448d-8554-79cb986745d1,,,,,,,,,,,,,,,,,,,,2,1,0,3,2,1,0,2,5,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
,,bc587788-72fe-4429-afb9-b7fb7829ae3a,,,,,,,,,,,,,,,,,,,,10,1,0,1,1,1,1,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
,,ce2ef331-ed08-465b-916c-39aab8a4e1a0,,,,,,,,,,,,,,,,,,,,3,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
,,3381bf0d-7203-4fdd-b92d-0ff97ed7addc,,,,,,,,,,,,,,,,,,,,1,0,0,2,1,0,0,1,1,0,1,0,0,0,0,0,2,0,0,3,3,2,0,0,0,0,,,
,,f4b60146-7b6c-4584-abe9-2b5ce4bc3f2f,,,,,,,,,,,,,,,,,,,,25,3,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,
,,cd19f009-0017-4a0d-b545-852e3667029f,,,,,,,,,,,,,,,,,,,,12,1,0,2,0,0,1,5,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
,,ed7020df-205d-45a1-b508-89f60c5724b1,,,,,,,,,,,,,,,,,,,,24,119,0,0,1,0,0,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,,,
,,86953e16-e3c3-4c6b-b7a2-07c90c16fd8e,,,,,,,,,,,,,,,,,,,,1,1,0,0,2,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,
,,5a55fead-3438-492e-83f4-3b301770283a,,,,,,,,,,,,,,,,,,,,3,1,0,0,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,,
,,df5dba5d-409f-4c6b-bafa-efe83c107535,,,,,,,,,,,,,,,,,,,,7,5,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,
,,41e13cfa-1ca3-425d-a531-9ac344534bd7,,,,,,,,,,,,,,,,,,,,17,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,
,,62fc53ff-c576-4f1c-b5b9-dbccb4b82b44,,,,,,,,,,,,,,,,,,,,98,0,0,1,1,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,,,
,,4f152403-e8cb-496f-aa85-536d451e38d7,,,,,,,,,,,,,,,,,,,,75,0,0,0,1,0,1,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,,,
,,0ff19703-18fd-427f-9bf1-07104d205283,,,,,,,,,,,,,,,,,,,,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
,,d4ffad9e-70ca-4fe6-8c30-0dae1afab89d,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,1,3,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,3,0,0,,,
,,ad845a27-b81c-4c1c-a44f-0de3fb1b9360,,,,,,,,,,,,,,,,,,,,16,1,1,1,1,1,1,2,4,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,,,
,,3b5c9769-bdb3-485c-b33b-adaab6ca51fb,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,,,
,,4bb45356-693b-435d-9e1c-bf2f8d33f459,,,,,,,,,,,,,,,,,,,,2,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,,
,,04e625b9-2607-4c96-9c0b-bf378aa45ecc,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,,,
,,a5356b55-b805-4364-aefd-a48450a2ab3f,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,,,
,,f1e2c403-744d-48d3-b8a8-106dcd719e70,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,,,
